"Background Characteristic","No Education","Primary","Middle","Secondary+","Missing","Total","Population","Median years","Mean years"
"5-9",44.4,54.8,0.4,NA,0.4,100,4102,0.7,0.6
"10-14",23.8,51.4,20,4.5,0.3,180,3274,3.6,3.2
"15-19",28.4,17.8,20.8,32.6,0.3,100,2448,6.3,5.3
"20-24",33.9,19.1,13.2,33.5,0.3,100,1883,5.7,5.4
"25-29",39.7,20.7,12.4,27.1,0.1,100,1561,5.2,4.8
"30-34",45.5,16.7,11.3,26,0.4,NA,1269,4.4,4.4
"35-39",44.7,17.1,10.2,27.7,0.3,100,1083,4.5,4.5
"40-44",50.6,20.2,8.1,20.9,0.2,100,951,0,3.8
"45-49",54.3,14.3,8.7,22.3,0.4,100,766,0,3.7
"50-54",61.6,15.9,6.1,16,0.4,180,678,0,2.9
"55-59",64.6,17.2,6.1,11.4,0.8,180,505,0,2.4
"60-64",73.8,11.3,5.6,9.3,0.1,100,708,0,1.8
"65+",80.1,9.3,5,5.2,0.4,100,1398,0,1.3
"Total Urban",26.9,29.8,13.7,29.4,0.3,100,6535,5,5
"Major city",27,27,13.4,32.3,0.2,180,3772,5.2,5.2
"Other urban",26.7,33.5,14,NA,0.3,100,2763,4.7,4.6
"Rural",50.7,29.8,9.3,9.8,0.4,100,14106,0,2.4
"Punjab",40.8,30.2,12,16.9,0.1,100,12330,1.8,3.4
"Sindh",44,31.5,7.8,16,0.7,100,4962,1,3.2
"NWFP",46.7,27.6,NA,14.4,0.2,100,2.597,1,3
"Balochistan",63.4,20.8,6.6,7.1,2,100,752,0,1.7
"Total",43.1,29.8,10.7,16,0.3,100,20641,1.3,3.2
